ID,Tshangla,English
1585,zhey cha kaang ma,"Side dish, usually made of fried
Cheese and egg or simply fried egg"
1586,ʼma ru,Bone curry
1587,go thaam kap taangh,Omelette
1588,go thaam bor pah gah,Egg scramble
1589,go thaam zong mah gah,Boiled egg
1590,muu lai kaam taang,Soup less radish dish with or without meat items
1591,pâ,"Either pork, beef, pork, fish"
1592,wa si,Butter
1593,mo si,Butter
1594,tso toh,Butter  or Cooking oil
1595,ʼa shuum mom naang,Popcorn
1596,ri,Water
1597,ri sa lu,Hot water
1598,ri chaang pu,Cold water
1599,za chu,Drinking water
1600,jaa thaang,Black tea with salt
1601,jaa sam,Snacks taken with tea
1602,jaa ri,"Tea leaf, tea ball"
1603,phee ka,Black tea with sugar
1604,‟nga jaa,Tea
1605,su jaa,A  churned butter tea
1606,ʼo jaa,Milk tea
1607,zhhuu,Alcohol
1608,nu,Milk
1609,tar wa,Skimmed milk
1610,tar chu phruum,Curd cheese
1611,tar chu,Whey
1612,phaam,Yeast
1613,baam ru tree,Bread
1614,seer nu,Colostrum
1615,nu boke pee,Milk powder
1616,me zu ma zhing,Honey
1617,chuur,Cheese
1618,phruum,Cheese
1619,chuur zhiit pa,Preserved cheese
1620,muu naang,Roasted rice eaten as snacks
1621,teng ma,Flattened corn
1622,ba ra teng ma,Flattened roasted rice
1623,pho phor wa,Puffed roasted rice
1624,ba daam,"Ground nut, peanut"
1625,bui to,Soda
1626,drup dru ma,Cartilage
1627,chaang pa,Nibble
1628,toh khaa,Feast
1629,do cur,Sour crystal-like stône
1630,ghee,Sichuan pepper
1631,song ghee,"Sichuan pepper, slightly bigger in size with stronger taste"
1632,khai ghee,"Sichuan pepper, smaller in size with mild taste"
1633,päy ma mey toh,Lotus
1634,me reng ma mey toh,Chrysanthemum
1635,se shu mey toh,Marigold
1636,käy zaang me toh,Dahlia
1637,joke taang mey toh,Dahlia
1638,shey lem pah,"Rumex nepalensis, ornamental
rhubarb"
1639,bem lak pa,"Rumex nepalensis,
Ornamental Rhubarb"
1640,leng shing mey toh,Peach blossom
1641,guen tsung mey toh,Fagopyrum esculentum-
1642,daang duung mey toh,Anaphalis busua
1643,ni ma mey toh,Sun flower
1644,zom do gor wa,Cirsium falconeri.
1645,gong ra,Geum elatum.
1646,seer gong,Fragaria nubicola
1647,kaap tong gong,Rubus idaeus
1648,sui za gong,Rubus biflorus.
1649,thok saam pa,Paris polyphylla
1650,ru ghee naang ʼa shum,Arisaema tortuosum
1651,buu chee la ʼa shum,Arisaema tortuosum
1652,zhhuu daang shing mey toh,Rhododendron
1653,tak shing mey toh,Rhododendron grande
1654,shak shing ma,Gaultheria semi-infera
1655,zaang ru jaa zu,Girardinia diversifofia
1656,khui sa ga,Hedychium spicatum
1657,chang mom naang,"Orchid (Cymbidium
erythraeum)"
1658,ʼo lo choh toh,Cymbidium erythraeum
1659,kar jan mey toh,Cosmos bipinnatus
1660,khi row ba,Siegesbeckia orientalis
1661,luus pu,Body
1662,tsham,Hair
1663,chuu chhur wa,The crown
1664,thot pah,Skull
1665,sep se pa,Temple
1666,sem se ba,Temple
1667,sha raang,Head
1668,pa tong bar,The centre of forehead
1669,nop no pa,Fontanelle
1670,pa tong,Forehead
1671,ming,Eye
1672,ming khuu,Eyeball
1673,ming khuu luung,Eyeball
1674,ming zim,Eyelash
1675,ming suum,Eyebrow
1676,Zu,Face
1677,goom,Face
1678,na guung,Nose
1679,na guung gang,Nostril
1680,no wang,Mouth
1681,Na,Ear
1682,che wa,Canine
1683,Sha,Teeth
1684,goop ka sha,Incisor
1685,ga ha sha,Upper teeth
1686,doha sha,Lower teeth
1687,sha bre ma,"Molar, wisdom tooth"
1688,gur ka sha,"Molar, wisdom tooth"
1689,shan da ring,Gum
1690,ley,Tongue or Intestine
1691,tongh tongh se,Tonsil epiglottis
1692,ʼa baak taang,Upper palate
1693,wa gom,Upper palate
1694,lep chee,Lip
1695,nak pa lep chee,Upper lip
1696,ga ha lep chee,Upper lip
1697,doh ha lep chee,Lower lip
1698,roo zu,Chin
1699,jaau,Moustache
1700,jan dra,Beard
1701,nai za,Cheek
1702,nai za pok pa,Cheekbone
1703,khur khaang,Cheekbone
1704,zhim te,Dimple
1705,hoke chee,Double chin
1706,nang zing,Nape
1707,nang da ring,Nape
1708,nang,Neck
1709,tong tong,Throat
1710,khai dor,Adam‟s apple
1711,ʼor tong,Adam‟s apple
1712,phaang mah,Shoulder
1713,tar khaang,Collarbone
1714,ga daang,Hand
1715,ga daang pho laang,Arm
1716,ning zing,Elbow
1717,ga daang ung,Palm
1718,ga daang thung,Fingertip
1719,ga daang pri maang,Fingers
1720,thea ba,Thumb
1721,si naang,Nail
1722,ki che naang,Armpit
1723,braang tong,Chest
1724,tsik pa khaang,Rib
1725,pho laang kaap ka ma,Ribcage
1726,tsing khaang,Back
1727,tsing khaang duung shing,Backbone
1728,Nu,Breast
1729,nu se,Nipple
1730,pho laang,"Stomach, belly"
1731,phu chee,"Umbilical cord, navy string"
1732,boom che rang,Bladder
1733,sha che nang,Waist
1734,khin chuung,Buttock
1735,kheen thongh boke pah,Buttock
1736,khi gaang,Anus
1737,shaam pe khaang,"Vestigial bone, tailbone"
1738,khin chung ruup chee,Buttock line
1739,long,Penis
1740,chu chu,Penis
1741,long sha raang,"Glans, head of the penis"
1742,chu chu sha raang,"Glans, head of the penis"
1743,khongh se,Testicle
1744,khong  phea  sa,Scrotum
1745,long khop taang,Foreskin
1746,long soom,Pubic hair (male)
1747,Thuu,Vagina
1748,thuu soom,Pubic hair (female)
1749,thuus li be,Clitoris
1750,loom,Thigh
1751,tongh zing,Knee
1752,goom zing,Knee
1753,goom zing ku luke chee,"Patella, kneecap"
1754,chee lik pa khaang,"Patella, kneecap"
1755,draam sa,Back of the knee
1756,tongh zingh sik,Knee joints
1757,be tingh,Leg
1758,be tingh sik,Leg joints
1759,be pho laang,Calf
1760,ʼlaang kaang,"Shin, shinbone"
1761,be ko loke pah,Ankle
1762,be tingh baap,Instep
1763,be tingh pri maang,Toes
1764,be ting pah,Heel
1765,be tingh phraang,Arch
1766,be tingh sa,Achilles tendon
1767,khaang,Bone
1768,sik,Joints
1769,zhi,Blood
1770,sa,Vein
1771,nyok taang sa,Brain‟s nerve
1772,nyok taang,Brain
1773,kang,Bone marrow
1774,kang si,Bone marrow
1775,naang thrö,Viscera
1776,be ma,Kidney
1777,thing lum,Heart
1778,lo wa,Lung
1779,chin pa,Liver
1780,be so pa,Pancreas
1781,wak sa shum,Womb
1782,mong nang,Skin
1783,Pu,Fur
1784,ba pu,Hair
1785,za la pu,"Facial hair, hair"
1786,phe sham pin,"Rat-tail, a thin tail of hair growing at the back of the head"
1787,shong,Breath
1788,phe,Fart
1789,ming ri,Tear
1790,ming khee,"Rheum, the stuff that forms at the corner of the eye."
1791,na khee,Ear wax
1792,ni naang khee,Nasal mucus
1793,che raang,Urine
1794,khee,"Feces, stool"
1795,cheer ma,Blister
1796,ne naang,Mucus
1797,shaang gur,Wart
1798,jo ri,"Sperm, semen"
1799,shup taang,Sweat
1800,nie,Pus
1801,thop taang,Spit
1802,thri pah,"Bile, gall"
1803,har khak taang,"Phlegm, sputum"
1804,chu seer,Serum
1805,nyer ma,Wrinkle
1806,nyer min,Wrinkle
1807,guu ri,Dirt
1808,se kong,Dandruff
1809,seng,Dandruff
1810,ba sep,Dandruff
1811,trep trema,Sandal made from an animal skin
1812,thaah ra,A horizontal striped kira with white as the dominate color
1813,sa ri,"Men‟s scarf or Carrier-wrap or A woven scarf for women, usually having variegated designs, worn by Bhutanese women over the shoulders on formal occasions"
1814,chu dhaang,"A kind of hand-woven sash fastened
around the waist"
1815,me chu dhaang,A kind of hand-woven sash woven from wool
1816,ne chu dhaang,"A traditional belt for women with patterns on yellow background, which is folded and then fastened"
1817,kheen jaa,Shirt
1818,chu pa,"The name of a clothing outfit worn by
Bhutanese men"
1819,zaang goe,"Glad rags, a dress for special occasion"
1820,lai go,Clothes worn at work
1821,khaa muung duke pin,Rags
1822,tong la,"Rags, tatters"
1823,teh guh, Outer long-sleeve blouse worn by Bhutanese women and folded up the sleeves with the inner blouse or Inner white shirt worn by men from inside the chupa and folded up the sleeves
1824,gheo chen teh guh,Brocade-made outer blouse worn by Bhutanese women
1825,on ju,An inner long-sleeved blouse worn inside the kira and tögu by Bhutanese women
1826,dru si on ju,A silk-made inner blouse worn by Bhutanese women
1827,pa ga,"Women‟s gown, usually worn in olden days"
1828,cing dom,"Trousers, pants"
1829,dor ma,"Trousers, pants"
1830,pon sa,"Trousers, pants"
1831,char kaap,Plastic sheet used as a protection against rain
1832,chu lhaam,Gumboot
1833,räy lhaam,Canvas
1834,tso lhaam,A traditional boot with intricate patterns on it
1835,tö si,Upper garment of monks
1836,shaam thaa,Lower robe of monks
1837,chö go,"Dharma robe, religious garment"
1838,chaam go,Outfits for mask dance
1839,nin dhuh,Umbrella
1840,shap si,Button
1841,dhongh khap,Apron
1842,‟nam bur,"Serge, a heavy woolen cloth"
1843,ʼma go,Military dress
1844,pe sar,New design
1845,chuu daang baak taang,"Wrapper, lower garment"
1846,kish thaa ra,"A kira, usually with a white background, with intricate patterns and designs"
1847,jaa dre ma,A striped cloth with rainbow-colored patterns
1848,paang si,"A white cloth, usually marked with a
pattern of black and red stripes"
1849,ʼma thaa,"A variegated red cloth, a plaid weave
having a predominantly red or maroon color with green, yellow, blue and white
patterns in stripe"
1850,ʼmän si ʼmaa thaa,"A cloth with  yellow warp bands, having sophisticated designs, on plain red ground"
1851,ʼai ka puur,"A cloth with alternate yellow, white red and green warp bands having sophisticated
designs"
1852,lung seer maa,"A cloth with alternate warp bands of red
and green colors, having sophisticated designs, on plain weave ground"
1853,tar cae ma,"A plain cloth woven from wool usually of three colors; red, black and purple."
1854,se thaa,"A variegated yellow cloth having a
predominantly yellow, orange, or red color with other colors present"
1855,hoer,A warp-patterned cloth
1856,be saam pah,"A type of warp-patterned cloth for which
only two sticks are used to form a pattern"
1857,be nga pah,"A type of warp-patterned cloth for which
four sticks are used to form a pattern"
1858,be zum pah,A type of warp-patterned cloth for which six sticks are used to form a pattern
1859,be guh pah,"A type of warp-patterned cloth for which
eight sticks are used to form a pattern"
1860,thik thaa,"A cloth with alternate warp bands of white
and yellow colors, with patterns on it"
1861,ho thaa,"A plain woven cloth usually  with pink,
blue and red colors"
1862,men thaa,"A cloth with narrow white warp bands on
black ground, worn solely by women"
1863,ʼno shaam,"A cloth, usually with a black or blue
background, for women with intricate patterns and designs"
1864,shing lu,"A name of cloth with tree leaves-like
intricate patterns and designs"
1865,ʼa daang ʼma thaa,A striped cloth with regular patterns having predominantly red or yellow color with other colors present
1866,ʼa da ra chu,Women‟s scarf having predominantly red background with stripe patterns of other colors
1867,‟lung ghee,"Wrapper, lower garment"
1868,ʼma yo,"Petticoat, underskirt"
1869,moo khuu ling,"Cap, hat"
1870,toh pah ring,"Cap, hat"
1871,tsar moo khuu ling,Bamboo hat
1872,ʼom so moo khuu ling,"Bobble hat, knitted hat"
1873,jo lah,Woven sling-bag
1874,ʼur ka,Bag made from animal skin
1875,sit puu jo lah,Rucksack made from yak fur
1876,thri ku,Traditional handbag
1877,da nga,A sack with drawstring
1878,ya thaa,A coarse woolen cloth with different colors and designs
1879,la jan,"A pair of white cuffs neatly folded over the
sleeves of chupa"
1880,lak shum,Gloves
1881,khaa räy,"Mouth cover, serviette"
1882,juu tah,Shoes
1883,be dhar,Shoes made from leather and clothes
1884,ni naang phak sam,Handkerchief
1885,ni naang baak taang,Handkerchief
1886,nu shoom,"Brassiere, bra"
1887,ʼom su,"Sock, stocking"
1888,wak sa baak taang,Cloth diaper
1889,ka ning,Cloth diaper
1890,pho go,Man‟s dress
1891,mo go,Woman‟s dress
1892,gong,Collar
1893,phui duum,Sleeve
1894,phes,Right side of the cloth
1895,nang,Wrong side of the cloth
1896,sô,Edge of a cloth
1897,khaa naang,"Pocket, a pouch formed around the
stomach when Bhutanese people wear traditional dress"
1898,nang shap,Lining
1899,khaa sha,"Canvas, thin cloth"
1900,jaa chhur,"Hem, flounce, binding"
1901,lah dree pa,Painter
1902,tson phe khan,Painter
1903,gar wa,Blacksmith
1904,trü ku,"Goldsmith, silversmith"
1905,jing zo pa,Sculptor
1906,zo go,Carpenter
1907,ʼlung zô,Mason
1908,tsip zo,Mason
1909,pa traa kot khan,Carver
1910,kö neer,Caretaker
1911,khem po,Abbot
1912,ʼa saa ra,Clown
1913,me la gaat pu,Clown
1914,se pon mo,Lead dancer
1915,cham pon,Lead mask dancer
1916,cham ju,Last mask dancer
1917,nang jak khan,Singer
1918,zhap thraah pa,Dancer
1919,ma ni pa,Dancer
1920,ma ni bru ma,Dancer
1921,me nak pa,Layman
1922,jig ten pa,Layman
1923,jig ten me nak pa,Layman
1924,ga pu,"Headman, block leader"
1925,druung yi,Clerk
1926,ʼmaang me,Community representative
1927,sok pa,Head of sub-block or Party
1928,chu pon,Village messenger
1929,pir pon,Village messenger
1930,sor gan,Village messenger
1931,‟me ser,"People, public"
1932,nga rok pa,Fisherman
1933,nga tsung khan,Fisherman
1934,sha rok pa,Hunter
1935,sha khon khan,Hunter
1936,ʼnae kor pa,Pilgrim
1937,wa di pa,Cowboy
1938,kur tah di pa,"Horseman, ostler"
1939,shi sha di pa,Shepherd
1940,ra ba di pa,Goatherd
1941,ʼyak di pa,Yak-herder
1942,zhung ʼyok pa,Civil servant
1943,ʼa ni mo,Nun
1944,ʼlo pon,Teacher
1945,go pon,Officer
1946,drak shu,Senior official with red scarf
1947,yon dah,"Proprietor, owner"
1948,jin dah,Sponsor
1949,khaang laah ga cho khan,Tenant
1950,phai pa,House-holder
1951,phai khuung khan,House-keeper
1952,nang ka ʼa ma,Lead lady of the family
1953,nang ka ʼa pa,Lead man of the family
1954,shi bin,Guest
1955,kuu khor,Royal family
1956,gäy sap,"Diplomat, representative of
king, viceroy, regent"
1957,chip pön,"Head groom, in charge of horse"
1958,nor pön,In charge of cattle
1959,thü me,Member
1960,tsong pa,Shopkeeper
1961,tsong pon,Shopkeeper
1962,tsong no khan,Customer
1963,tsong tsong khan,Shopkeeper
1964,gari wak khan,Driver
1965,thaap tsangh pa,Cook
1966,thaap tsang pa gong ma,Head cook
1967,ʼnyear tshang pa,Storekeeper
1968,chaang ʼnyear zam,Bar woman
1969,drön se pa,Guest attendant
1970,chaa zhhu pa,Attendant
1971,braang phak khan,Sweeper
1972,ri chet khan,Plumber
1973,ri chos khan,Plumber
1974,ri suung pa,Plumber
1975,me chos khan,Electrician
1976,drung tso,Doctor
1977,ʼmän pa,Pharmacist
1978,drong ʼmän pa,A villager who has the responsibility of providing medicines to the people in his village
1979,wak sa ghot khan,Babysitter
1980,bur zi pa,Babysitter
1981,rum kan,Helper
1982,lai pa,Worker
1983,chang ze guu ru,"Alcoholic, drunkard"
1984,ngan pa,Black magician
1985,ngan pa lang,Black magician
1986,dre,Ghost
1987,don,Ghost
1988,duke be khan,Poisoner
1989,ʼla ma,Lama
1990,ʼum zäy,Ritual master
1991,ram jam,Drummer
1992,dung thet khan,Trumpeter
1993,ka ʼling thet khan,Clarinettist
1994,chö pon,"In-charge, master of offerings"
1995,chö sham pa,"In-charge, master of offerings"
1996,chos pa,Religious practitioner
1997,tor zheeng pa,A person who makes a ritual cake
1998,trü ku,Reincarnation
1999,pau,Shaman (male)
2000,ter da,Shaman
2001,pa mo,Shaman (female)
2002,jo mo,Shaman (female)
2003,throm pon,Mayor
2004,nog min,Neighbors
2005,tso min jaai mo,Mermaid
2006,khäy lang ʼma me,Militia volunteer
2007,ʼlo pon,"Cadet officer, instructor"
2008,chu ma,Constable
2009,go pa,Military rank above constable
2010,pel jap,Military rank above gopa
2011,pel pön,Military rank above pelpön
2012,drim pön,Sergeant
2013,drim pön og ma,Junior sergeant
2014,drim pön gong ma,Senior sergeant
2015,dey daah og ma,Junior lieutenant
2016,dey daah gong ma,Senior lieutenant
2017,che pon,Captain
2018,ling pön,Major
2019,ʼmak si og ma,Lieutenant colonel
2020,ʼmak si gong ma,Colonel
2021,doh zin,Brigadier
2022,gung ʼlön og ma,Major general
2023,"gung ʼlön gong
ma",Lieutenant general
2024,lo sa pa,Translator
2025,khee ʼlaang pa,Volunteer
2026,lai jaa pa,Supervisor
2027,ʼla pön,Disbursement officer
2028,thri zin,"Chairman, chairperson"
2029,gong ma,"Senior, head"
2030,che lu,"Senior, head"
2031,gay tray,Disrobed monk
2032,drey pa,Former
2033,go dren pa,"Co-coordinator, host,
organizer, marshal"
2034,dra wa la,"Postman, messenger"
2035,draang pon,Judge
2036,thrim pon,Judge
2037,jap me,"Attorney, surety, guarantor"
2038,paang po,Witness
2039,zom paang,Witness
2040,bar ka so ngo,Negotiator
2041,gar pa,"A cadre of all-purpose attendants on high officials in
ancient Bhutan"
2042,geer drung,Personal assistant
2043,go nor drung tso,"Veterinary doctor, veterinarian"
2044,no lok pa,"Anti-national, insurgent"
2045,ʼnya gey,"Hero, he-man"
2046,taan mung got khan,"Spectator, audience"
2047,khaa muung nam khan,Weaver
2048,draang zhaa pa,"Server, waiter, waitress"
2049,dah pön,"Skilled archer, last archer"
2050,go pön,First archer
2051,"phung pu chos
khan",Undertaker
2052,ti ru,Money
2053,ti ru leng nang,Change
2054,ti ru chai zong,Change
2055,shi ki,"A unit of currency equal to 25
chetrum"
2056,che tram,"A unit of currency equal to one-
hundredth of a ngultrum"
2057,dah yang,"Silver made coin which is bigger in size. Has a silver, enough to make a cup"
2058,bai traaangh,"Silver coin, 10 baitrang has a
value that equals to one tiru"
2059,zaang traaangh,"Bronze coin. 10 zangtrang has a
value that equals to one baitrang"
2060,‟nül tram,"The unit of Bhutanese currency, represented by Nu."
2061,thah lah,A fifty-chetrum coin
2062,chang lor,One note
2063,tiru thur pah,One note
2064,che lor,One note
2065,‟ni lor,Two note
2066,ti ru nik tsing pa,Two note
2067,‟nga lor,Five note
2068,ti ru nga pa,Five note
2069,chu lor,Ten note
2070,ti ru se pa,Ten note
2071,khai thur pa,Twenty note
2072,khai lor,Twenty note
2073,‟nap chu lor,Fifty note
2074,jaa lor,One hundred currency note
2075,khai nga pa,One hundred note
2076,‟nap jaa pa,Five hundred note
2077,toong lor,One thousand note
2078,toong thraah thur pa,One thousand note
2079,chhoke zhhee,Four directions
2080,tsham zhhee,"Four cardinal points (Northeast,
Southeast, Southwest, Northwest)"
2081,shar,East
2082,lhooh,South
2083,noop,West
2084,jaang,North
2085,shar lo,Southeast
2086,loh noop,Southwest
2087,noop jaang,Northwest
2088,jaang shar,Northeast
2089,lo ka,"Towards, in the direction of"
2090,toet,Top
2091,naak pa,Above
2092,ga lo ka,Above
2093,juk,Bottom
2094,shot,South
2095,doh ha,Below
2096,o ka,"Down, below, beneath"
2097,dong lo ka,Downward
2098,bar ka,Middle
2099,chhaam ka,"Between, middle"
2100,gah,"Above, up    or At"
2101,aah thoh la,"Above, up"
2102, thoh la,"Above, up"
2103,aa lê la,Over there
2104,ʼlê la,There
2105,ʼa ʼyô la,Down there
2106,ʼyô la,Down there
2107,thah,Here
2108,theng,Here
2109,theng lo ka,This side
2110,leng,That side
2111,naah,There
2112,ʼa nhaah,There
2113,naah lo ka,Next
2114,dhongh,"Down, below"
2115,ʼa thaah,"Here, this"
2116,ʼo thaah,"This, here"
2117,ʼyä pa,Right
2118,ʼyon pa,Left
2119,jap ka,"Behind, back, rear"
2120,tsing lo ka,"Behind, back, rear"
2121,goop ka,"Front, before"
2122,thoong ka,"Top, on"
2123,zur ka,"On the side of, beside"
2124,ʼnae ma,"On the side of, beside, Edge"
2125,re ka,Nearby
2126,rep ka,Corner
2127,chep ka,Slope
2128,pek,Slope
2129,ung,"Ground, plain"
2130,ʼnap,"Corner, end"
2131,nang ka,"Inside, in"
2132,nang du,Within
2133,fis ka,"Out, outside"
2134,o ka,"Under, below"
2135,phra nga,"Under, below"
2136,na lo ka,"Next to, beside, other side"
2137,wa rong,"Horn
"
2138,shaam pee,Tail
2139,lop lo pa,Dewlap
2140,soon thi,Trunk
2141,chheuw,Tusk
2142,zhin chong,Muzzle
2143,be joke taangh,Hoof
2144,bee tse nang,Claw
2145,nä ko pu,Jaw
2146,Pu,Fur or hair
2147,phong,Front legs
2148,bee ting,Hind legs
2149,ze khaang,Hump
2150,phung,Hump
2151,ngong,Mane of the horse
2152,Sop,Scale
2153,nor sem chain,Cattle
2154,wa,Cow
2155,wa da ma,Cow
2156,wa da za,Calf
2157,toh ka,"Bull, ox"
2158,toh ka da za,A young bull
2159,mon dor,Heifer
2160,men cha,Mithun
2161,jaa sa min,Hybrid cow of mithun
2162,jaa sa ,Hybrid bull of mithun
2163,jar si,Jersey
2164,bay laan ti wa,Jersey
2165,ra ba,Goat
2166,kuur tah,Horse
2167,bong buu,Donkey
2168,drê,Mule
2169,kuur tah se pâ,Stallion
2170,kuur tah gey mo,Mare
2171,kuur tah da za,Foal
2172,shi sha,Sheep
2173,phak pa,Pig
2174,nyan pu,Boar
2175,nyan mu,Sow
2176,bey laan ti phak pa,Imported pigs
2177,zhung ka phak pa,Imported pigs
2178,ew fah,Local pig
2179,sa phak pa,Local pig
2180,phak pa da za,Piglet
2181,khuu,Dog
2182,khuu dhah ma,Bitch
2183,khuu dhah za,Puppy
2184,khuu thhong pa,Stray dog
2185,khuu thhong pa,Stray dog
2186,khi khuu,Stray dog
2187,sha khuu,Hunting dog
2188,dah ni,Cat
2189,dah ni dhah za,Kitten
2190,me guu,Queen cat
2191,dah ni kau ra,Tomcat
2192,dah ni bau ra,Tomcat
2193,dah ni thongh pa,Tomcat
2194,ʼyak,Yak
2195,ʼyak thoh kah,Male yak
2196,ʼyak dhah ma,Female yak
2197,jim,Female yak
2198,ʼyak dhah za,Calf
2199,fee chuur ba,Rat
2200,phai da ra,Rat
2201,tsik sa,Mouse
2202,sha wa,Reindeer
2203,ba sha,Mountain goat
2204,bo raang phak pa,Wild boar
2205,gah sha,Barking deer
2206,bo raang khuh,Wolf
2207,phah ru,Wolf
2208,rom,Wolf
2209,ga gong ma,Yellow-throated marten
2210,gaok ma,Yellow-throated marten
2211,ʼom sha,Bear
2212,lah dom,Himalayan bear
2213,khai lah,Tiger
2214,zi,Leopard
2215,za lah,Monkey
2216,roke shah,Langur
2217,dret pu,Gorilla
2218,ʼlaang pa chen,Elephant
2219,nga mong,Giraffe
2220,shiu li,Fox
2221,gung,Jaguar
2222,ri ʼlaang,Bison
2223,nor buu si li,Rhinoceros
2224,ri phah,Hippopotamus
2225,tor to la,Squirrel
2226,ko sok taang,Squirrel
2227,phu ga dhah ni,Wildcat
2228,ʼom sha sha khi,Panda
2229,seng ghee,Lion
2230,ru ghee nang,Snake
2231,buu chee la,Snake
2232,bo daa,Python
2233,dung dung ma,Lizard
2234,yong ku luum,Lizard
2235,zum phee,Porcupine
2236,ri bong,Rabbit
2237,nga,Fish
2238,ru ghee nang nga,Eel
2239,taak taak pa,Frog
2240,bat ba la,Tadpole
2241,chu sin,Crocodile
2242,bui wa rong,Snail
2243,ri buu,Snail
2244,kang kaa ra,Crab
2245,chee tong kaam pa,"Prawn, shrimp"
2246,shiu ra du,Octopus
2247,ri buu,Tortoise
2248,pu,Fur
2249,dro,Feather
2250,shoke pa,Wings
2251,cop chee,Beak
2252,jar,Comb
2253,thor chee,Comb
2254,dor,Wattle
2255,wuun buu,Eagle
2256,chu khaa,Sparrow
2257,ku pee,Cuckoo
2258,jaa chuung,Garuda
2259,thhrung thhrung kar mo,Crane
2260,ngaang khee ʼa ma,Black-necked crane
2261,jaa daang,Pheasant
2262,sha kha,Magpie
2263,cung khaa,Jackdaw
2264,chuub jaa,Strok
2265,ghee lan ti,Duck
2266,ba tro,Parrot
2267,phah wang,Bat
2268,par wa,Pigeon
2269,phu tru,Pigeon
2270,gö,Vulture
2271,ka la tring kang,Ostrich
2272,aa wa ling,Crow
2273,aa wa,Crow
2274,tohk tohk khaa,Wood pecker
2275,ma jaa,Peacock
2276,euk  pa,Owl
2277,rip khaa,Kalij pheasant
2278,go laa po,Rooster
2279,go wa daa ma,Hen
2280,go wa daa za,Chick
2281,ba ling min,White
2282,seer boo,Yellow
2283,sa lu,Red
2284,chang lu,Black
2285,ngo kar,Sky blue
2286,yeng lu khaa muk ken,Dark blue
2287,yeng lu khaa ʼnak ken,Dark blue
2288,yeng lu khaa wang ken,Light blue
2289,li wang,Orange
2290,jang seer,Greenish yellow
2291,sha khaa,Pink
2292,jang khaa khaa muk ken,Dark green
2293,jang khaa khaa ʼnak ken,Dark green
2294,jang khuu,Dark green
2295,yeng lu,Blue
2296,jang khaa khaa wang ken,Light green
2297,sa lu khaa wang ken,Light red
2298,sa lu khaa muk ken,Brown
2299,jaa moo,Purple
2300,za ley,To eat
2301,jaa mey,To drink
2302,dro mey,"To beat, to hit"
2303,kong mey,"To beat, to hit"
2304,zhaak pey,"To beat, to hit"
2305,ʼling pe,"To jump, To run"
2306,juk pe,To run
2307,‟na za ley,"To promise, to swear"
2308,gong mey,To climb
2309,laang mey,To sit
2310,thing mey,To stand
2311,zhei phey,To sleep
2312,phros pe,To vomit
2313,u ley,To wake up
2314,mar bey,To get sick
2315,shi ley,To die
2316,yek pey,To say
2317,shong mey,To twist
2318,drees pey,To spin
2319,dree ley,To roll
2320,lo mey,To roll
2321,jak pe,To pull
2322,brek pe,To push
2323,tros pe,To support
2324,nar bey,To laugh
2325,gey phey,To cry
2326,tshung phung mey,To cough
2327,dam pey,To tie
2328,phek pey,To open
2329,chok pey,To open
2330,cho ley,To stay
2331,di ley,To go
2332,chot pey,To make
2333,chos pey,To make
2334,fot pey,To break
2335,khaang mey,To chop
2336,jar pe,"To stick, to join"
2337,ya ley,To mix
2338,ʼluuk pey,"To pour, to put"
2339,sho ley,"To take out, to withdraw"
2340,tsuk pey,To put inside
2341,brak pey,To scold
2342,phah ley,To bring
2343,buu ley,To take
2344,bee ley,To give
2345,la ley,To receive
2346,doke pey,"To catch, to receive  to accept"
2347,kheek pey,To scratch
2348,trek pey,To scratch
2349,brat pey,To scratch
2350,phak pey,"To clean, to sweep"
2351,ru ley,To snatch
2352,poke pey,To remove
2353,sok pey,To apply
2354,ʼûr pey,To apply
2355,zik pey,To wash
2356,gay mey,"To dispose, to throw, To lose"
2357,wak thuu phey,"To dispose, to throw"
2358,dus pey,"To pick up, to collect"
2359,duung mey,"To pick up, to collect"
2360,tsong mey,To sell
2361,ʼlo tsong mey,To disgrace
2362,trom pey,To crumple
2363,chat pe,To cut
2364,tok pey,"To cut, to chop"
2365,za mey,To cut
2366,chuung mey,"To prick, to stab"
2367,na mey,"To weave, to knit"
2368,phu ley,To lift
2369,thah ley,To keep
2370,zok pey,To grow
2371,drey phey,To squeeze
2372,tsir bey,To squeeze
2373,pen pey,To press
2374,yey ley,To wear
2375,phek pey,"To take off, to remove"
2376,tah phey,"To snap, esp. photo, To fold"
2377,chey ley,To plant
2378,drui bey,To write
2379,ji mey,To ask
2380,ʼlam pey,To study
2381,ʼlhak pey,To read
2382,thok pey,"To switch on, To obstruct, To allow"
2383,su phey,To block
2384,she ley,To kill
2385,nyan pey,To listen
2386,rai pey,To tear
2387,phok pey,To explode
2388,so phey,To burn
2389,zhit pey,To rot
2390,khur bey,To feel cold
2391,sa ley,To heat
2392,chang pey,To cool
2393,bren mey,To flatter
2394,ben mey,To lick
2395,zhum pey,To suck
2396,phaang pey,To show affection
2397,lek pey,To like
2398,shor bey,To lose
2399,thar bey,"To drop, To release"
2400,pher pey,To fly
2401,phur pey,To fly
2402,jan mey,To hang
2403,zhi ley,To hang
2404,zhut pey,To drop
2405,tu ley,To join
2406,cha mey,To get along
2407,trok pey,"To tease, To touch"
2408,phah phey,To bring down
2409,ba phey,To get down
